compound,tc,b,a0,c1,epsilon,kappa,na,nb,nc
water,647.29,0.014515,1.2277,0.67359,166.55,69.2,2,2,0
methanol,512.64,0.0310,4.0531,0.4310,245.91,16.1,1,1,0
ethanol,513.92,0.049110,8.6716,0.73690,215.32,8.00,1,1,0
propanol,536.78,0.064110,11.9102,0.91709,210.00,8.10,1,1,0
iso-propanol,508.30,0.064110,10.6019,0.94680,210.00,9.10,1,1,0
1-butanol,563.05,0.079700,15.6949,0.97840,210.00,8.20,1,1,0
1-pentanol,469.70,0.097455,22.7576,0.93580,210.00,3.60,1,1,0
1-heptanol,631.9,0.13133,35.73857,1.01096,262.72,0.3,1,1,0
1-octanol,652.50,0.148500,41.5822,1.14860,267.59,0.14,1,1,0
1-dodecanol,719.40,0.22137,71.756,0.9650,337.91,0.12,1,1,0
2-butanol,536.05,0.0811,17.31578,0.88935,210.01,2.2,1,1,0
isobutanol,547.78,0.08105,18.31373,0.90354,228.62,1.0,1,1,0
formic acid,588,0.03,5.6336,0.3338,419.17,15.5,0,0,1
acetic acid,591.95,0.0468,9.1196,0.4644,403.23,4.5,0,0,1
propionic acid,600.81,0.0641,13.2676,0.6891,399.75,2.1,0,0,1
formic acid,588,0.03,5.6336,0.3338,419.17,15.5,0,0,1
acetic acid,591.95,0.0468,9.1196,0.4644,403.23,4.5,0,0,1
propionic acid,600.81,0.0641,13.2676,0.6891,399.75,2.1,0,0,1
ethylene glycol,720,0.0514,10.819,0.6744,197.52,14.1,2,2,0
diethylene glycol,744.6,0.0921,26.408,0.7991,196.84,6.4,2,2,0
triethylene glycol,769.5,0.1321,39.126,1.1692,143.37,18.8,2,2,0
monoethanolamine,614.2,0.05656,14.112,0.7012,181.77,5.35,2,2,0
diethanolamine,715.2,0.09435,20.942,1.5743,161.59,33.2,2,2,0
methyldiethanolamine,667.49,0.11145,21.659,1.3371,161.59,33.2,2,2,0
acetone,508.2,0.0592,7.8643,0.99510,111.73,289,1,1,0
propane,369.83,0.057834,9.11875,0.6307,0,0,0,0,0
n-butane,425.18,0.072081,13.14274,0.70771,0,0,0,0,0
iso-butane,408.14,0.0747,12.9094,0.7021,0,0,0,0,0
n-pentane,469.7,0.091008,18.198,0.79858,0,0,0,0,0
n-hexane,507.6,0.10789,23.681,0.8313,0,0,0,0,0
cyclohexane,553.58,0.09038,21.257,0.74265,0,0,0,0,0
n-heptane,540.2,0.12535,29.178,0.9137,0,0,0,0,0
n-octane,568.7,0.14244,34.875,0.99415,0,0,0,0,0
iso-octane,543.96,0.13875,32.141,0.86993,0,0,0,0,0
n-nonane,594.60,0.16035,41.25061,1.04628,0,0,0,0,0
n-decane,617.7,0.17865,47.389,1.13243,0,0,0,0,0
n-undecane,639,0.197909,55.2201,1.1437,0,0,0,0,0
n-dodecane,658,0.21624,62.403,1.19531,0,0,0,0,0
n-tetradecane,693,0.25053,76.618,1.29057,0,0,0,0,0
n-hexadecane,723,0.2961,94.914,1.3728,0,0,0,0,0
n-octadecane,747,0.333685,110.81,1.46978,0,0,0,0,0
n-nonadecane,758,0.353889,119.724,1.50837,0,0,0,0,0
n-eicosane,768,0.374384,129.53,1.53669,0,0,0,0,0
ethylbenzene,617.20,0.10872,28.860,0.8539,0,0,0,0,0
propylbenzene,638.38,0.12685,34.821,0.9117,0,0,0,0,0
butylbenzene,660.55,0.14440,41.294,0.9618,0,0,0,0,0
pentylbenzene,679.90,0.16167,48.415,0.9795,0,0,0,0,0
hexylbenzene,698.00,0.18022,55.3223,1.0436,0,0,0,0,0
m-xylene,617.05,0.10872,29.086,0.8681,0,0,0,0,0
p-xylene,616.23,0.1098,29.31663,0.86256,0,0,0,0,0
1-hexene,504.03,0.10200,21.983,0.8430,0,0,0,0,0
1-octene,566.60,0.13780,33.630,0.9700,0,0,0,0,0
1-decene,616.40,0.17333,46.579,1.0642,0,0,0,0,0
2-methylpentane,497.50,0.107757,22.8205,0.83732,0,0,0,0,0
2-methylhexane,530.37,0.124720,28.327,0.89910,0,0,0,0,0
2-methylheptane,559.64,0.141885,34.1842,0.96008,0,0,0,0,0
"2,4-dimethylhexane",553.50,0.141199,33.3033,0.92763,0,0,0,0,0
"2,2,4-trimethylpentane",543.96,0.139164,32.2332,0.86803,0,0,0,0,0
Ethylcyclohexane,609.15,0.124584,32.3264,0.82473,0,0,0,0,0
Acetone,508.2,0.0619,13.996,0.80023,0,0,0,0,0
Chloroform,536.4,0.0665,15.119,0.74544,0,0,0,0,0
Dimethyl ether,400.1,0.0496,8.4354,0.72125,0,0,0,0,0
Dipropyl ether,530.6,0.11578,26.38364,0.92963,0,0,0,0,0
Diisopropyl ether,500.05,0.11578,24.33523,0.94902,0,0,0,0,0
Ethyl propyl ether,500.23,0.10034,21.76524,0.84978,0,0,0,0,0
Methyl formate,487.2,0.05006,10.52239,0.79622,0,0,0,0,0
Methyl acetate,506.55,0.06625,14.59349,0.87185,0,0,0,0,0
Ethyl acetate,523.3,0.08338,18.88000,0.94265,0,0,0,0,0
Isobutyl acetate,560.8,0.11631,28.07736,1.03889,0,0,0,0,0
n-butyl acetate,563.8,0.11788,29.23732,1.02499,0,0,0,0,0
Acetic anhydride,606.00,0.08728,23.31410,1.03323,0,0,0,0,0